ID,AdminCode,Type,Kind,R_linkID,L_linkID,Marker,UpdateDate,Version,Remark,HistType,HistRemark,vertex_index,vertex_part,vertex_part_index,distance,angle,Longitude,Latitude
B222CC010101,284,111,501,,,,20220113,2022,,,,0,0,0,0.00000000000000,143.01211400647739,127.441443027718,36.7286132414357
B222CC010101,284,111,501,,,,20220113,2022,,,,1,0,1,0.00005654975317,142.76274718235274,127.44147705066,36.7285680716003
B222CC010101,284,111,501,,,,20220113,2022,,,,2,0,2,0.00011176575913,142.27240982688264,127.441510653803,36.7285242579489
B222CC010101,284,111,501,,,,20220113,2022,,,,3,0,3,0.00025012364185,142.31304133263365,127.441595775583,36.7284151837251
B222CC010101,284,111,501,,,,20220113,2022,,,,4,0,4,0.00043388111683,142.61398697984561,127.441707399081,36.7282692145355
B222CC010101,284,111,501,,,,20220113,2022,,,,5,0,5,0.00054594963739,142.08058579936525,127.441775414991,36.7281801460824
B222CC010101,284,111,501,,,,20220113,2022,,,,6,0,6,0.00060386677680,142.37532745151523,127.441811447229,36.7281348021426
B222CC010101,284,111,501,,,,20220113,2022,,,,7,0,7,0.00065390711869,142.58788568632585,127.441841406617,36.7280947213387
B222CC010101,284,111,501,,,,20220113,2022,,,,8,0,8,0.00068938004356,142.77717117677923,127.441863268874,36.728066786233
B222CC010101,284,111,501,,,,20220113,2022,,,,9,0,9,0.00072383450619,142.51008579874679,127.441883714133,36.7280390535555
B222CC010101,284,111,501,,,,20220113,2022,,,,10,0,10,0.00074688112623,141.91125778894573,127.441898086542,36.7280210374366
B222CC010101,284,111,501,,,,20220113,2022,,,,11,0,11,0.00077242963108,141.95285361661993,127.441913673521,36.7280007946064
B222CC010101,284,111,501,,,,20220113,2022,,,,12,0,12,0.00079202247921,141.94401079350169,127.441925869827,36.7279854606625
B222CC010101,284,111,501,,,,20220113,2022,,,,13,0,13,0.00081150784634,141.07484246158589,127.441937762489,36.7279700255044
B222CC010101,284,111,501,,,,20220113,2022,,,,14,0,14,0.00084253291431,142.58427309064933,127.441957802891,36.727946341393
B222CC010101,284,111,501,,,,20220113,2022,,,,15,0,15,0.00087185752041,145.40490446745594,127.441974452619,36.7279222018179
B222CC020101,284,211,505,,A222CC000101,,20220117,2022,,,,0,0,0,0.00000000000000,142.09211293700236,127.441402086104,36.7285634485781
B222CC020101,284,211,505,,A222CC000101,,20220117,2022,,,,1,0,1,0.00006210200412,142.06720583233206,127.441440241191,36.7285144501268
B222CC020101,284,211,505,,A222CC000101,,20220117,2022,,,,2,0,2,0.00018561662678,142.35455149705638,127.44151621251,36.7284170631634
B222CC020101,284,211,505,,A222CC000101,,20220117,2022,,,,3,0,3,0.00026607701846,142.54642726956718,127.441565007649,36.7283530873155
B222CC020101,284,211,505,,A222CC000101,,20220117,2022,,,,4,0,4,0.00034421057871,142.33854430947258,127.441612652312,36.7282911612362
B222CC020101,284,211,505,,A222CC000101,,20220117,2022,,,,5,0,5,0.00050481977407,143.03297137901916,127.441710977735,36.7281641674381
B222CC020101,284,211,505,,A222CC000101,,20220117,2022,,,,6,0,6,0.00055865189219,143.54841679245681,127.441742759988,36.7281207187862
B222CC020101,284,211,505,,A222CC000101,,20220117,2022,,,,7,0,7,0.00061922003714,142.67432944688485,127.441778972349,36.7280721681416
B222CC020101,284,211,505,,A222CC000101,,20220117,2022,,,,8,0,8,0.00065381331354,142.00984358594479,127.441800238334,36.7280448834818
B222CC020101,284,211,505,,A222CC000101,,20220117,2022,,,,9,0,9,0.00068018067448,142.09343838475644,127.441816488756,36.7280241190532
B222CC020101,284,211,505,,A222CC000101,,20220117,2022,,,,10,0,10,0.00070308223598,141.97187806498522,127.44183051457,36.7280060149631
B222CC020101,284,211,505,,A222CC000101,,20220117,2022,,,,11,0,11,0.00073707813127,141.88138100612485,127.441851579932,36.7279793321708
B222CC020101,284,211,505,,A222CC000101,,20220117,2022,,,,12,0,12,0.00075819977162,142.72814816141781,127.441864568332,36.7279626760863
B222CC020101,284,211,505,,A222CC000101,,20220117,2022,,,,13,0,13,0.00077410538041,143.00340174977279,127.4418740509,36.7279499062277
B222CC020101,284,211,505,,A222CC000101,,20220117,2022,,,,14,0,14,0.00081261887822,142.84865871257261,127.441897441236,36.7279193091406
B222CC020101,284,211,505,,A222CC000101,,20220117,2022,,,,15,0,15,0.00085262268102,143.09388504790005,127.441921463742,36.7278873212769
B222CC020106,284,211,505,,A222CC000106,,20220116,2022,,,,0,0,0,0.00000000000000,145.71295399374105,127.441921711902,36.7278872260269
B222CC020106,284,211,505,,A222CC000106,,20220116,2022,,,,1,0,1,0.00003131711697,148.88790559146827,127.441939354064,36.7278613510206
B222CC020106,284,211,505,,A222CC000106,,20220116,2022,,,,2,0,2,0.00008015253691,154.90902244894633,127.441962233587,36.7278182067778
B222CC020106,284,211,505,,A222CC000106,,20220116,2022,,,,3,0,3,0.00015505642385,159.00349707792816,127.441990589563,36.7277488776289
B222CC020106,284,211,505,,A222CC000106,,20220116,2022,,,,4,0,4,0.00019688864638,164.02524469284077,127.442004724129,36.7277095056987
B222CC020106,284,211,505,,A222CC000106,,20220116,2022,,,,5,0,5,0.00022919969697,167.23100657337741,127.442011552981,36.7276779245212
B222CC020106,284,211,505,,A222CC000106,,20220116,2022,,,,6,0,6,0.00025020078300,168.70567199782653,127.442016397354,36.7276574898043
B222CC020106,284,211,505,,A222CC000106,,20220116,2022,,,,7,0,7,0.00027111107258,173.68605929441736,127.442019759244,36.727636851541
B222CC020106,284,211,505,,A222CC000106,,20220116,2022,,,,8,0,8,0.00030441421108,178.06927948387676,127.442021720345,36.7276036061937
B222CC020106,284,211,505,,A222CC000106,,20220116,2022,,,,9,0,9,0.00033747397378,180.98133195303376,127.442022000503,36.7275705476181
B222CC020106,284,211,505,,A222CC000106,,20220116,2022,,,,10,0,10,0.00037682531673,184.99621152240897,127.442020319558,36.7275312321934
B222CC020106,284,211,505,,A222CC000106,,20220116,2022,,,,11,0,11,0.00042590415621,190.15190310935571,127.442013875938,36.7274825781881
B222CC020106,284,211,505,,A222CC000106,,20220116,2022,,,,12,0,12,0.00047368356942,195.14294887335549,127.442003323342,36.7274359786705
B222CC020106,284,211,505,,A222CC000106,,20220116,2022,,,,13,0,13,0.00053069406751,200.25162472198937,127.441986154993,36.7273816146684
B222CC020106,284,211,505,,A222CC000106,,20220116,2022,,,,14,0,14,0.00058542949898,203.80022831742485,127.441964788433,36.7273312218363
B222CC020106,284,211,505,,A222CC000106,,20220116,2022,,,,15,0,15,0.00060456102115,205.40290594742271,127.44195681721,36.7273138300351
B222CC020106,284,211,505,,A222CC000106,,20220116,2022,,,,16,0,16,0.00064519771846,206.18229987088509,127.441938887135,36.7272773628776
B222CC020111,284,211,505,,A222CC000111,,20220116,2022,,,,0,0,0,0.00000000000000,205.88702627062611,127.44193859653,36.7272767405303
B222CC020111,284,211,505,,A222CC000111,,20220116,2022,,,,1,0,1,0.00004635223524,206.04679314991935,127.441918359232,36.727235039433
B222CC020111,284,211,505,,A222CC000111,,20220116,2022,,,,2,0,2,0.00009424251069,205.61968671251947,127.441897210476,36.7271920719036
B222CC020111,284,211,505,,A222CC000111,,20220116,2022,,,,3,0,3,0.00014025372659,205.17891261835393,127.441877741417,36.7271503827235
B222CC020111,284,211,505,,A222CC000111,,20220116,2022,,,,4,0,4,0.00019195482318,205.01249906589169,127.441855626144,36.727103650314
B222CC020111,284,211,505,,A222CC000111,,20220116,2022,,,,5,0,5,0.00025726196166,205.34168720137859,127.441828336456,36.7270443182381
B222CC020111,284,211,505,,A222CC000111,,20220116,2022,,,,6,0,6,0.00032480058234,205.28675263632249,127.441798747074,36.7269836063465
B222CC020111,284,211,505,,A222CC000111,,20220116,2022,,,,7,0,7,0.00039443399283,204.62300795226719,127.441769770944,36.7269202881363
B222CC020111,284,211,505,,A222CC000111,,20220116,2022,,,,8,0,8,0.00046646575115,204.68407301838525,127.441739721624,36.7268548235461
B222CC020111,284,211,505,,A222CC000111,,20220116,2022,,,,9,0,9,0.00051523996645,203.64319268558680,127.441719331014,36.7268105161302
B222CC020111,284,211,505,,A222CC000111,,20220116,2022,,,,10,0,10,0.00057434798853,201.71187171574124,127.441696640711,36.7267559367529
B222CC020111,284,211,505,,A222CC000111,,20220116,2022,,,,11,0,11,0.00065489927009,199.55466913776155,127.441667971207,36.7266806601398
B222CC020111,284,211,505,,A222CC000111,,20220116,2022,,,,12,0,12,0.00073416735507,196.37547657899947,127.441643134524,36.7266053835268
B222CC020111,284,211,505,,A222CC000111,,20220116,2022,,,,13,0,13,0.00086528167258,192.79396587870096,127.441610325572,36.7264784404806
B222CC020111,284,211,505,,A222CC000111,,20220116,2022,,,,14,0,14,0.00092183832652,189.98629103789656,127.441599440359,36.7264229412262
B222CC020111,284,211,505,,A222CC000111,,20220116,2022,,,,15,0,15,0.00097847575660,188.38210998559865,127.441590701526,36.7263669820331
B222CC020111,284,211,505,,A222CC000111,,20220116,2022,,,,16,0,16,0.00102986187205,187.29433037462607,127.441583649135,36.7263160821644
B222CC020111,284,211,505,,A222CC000111,,20220116,2022,,,,17,0,17,0.00108373601894,184.83553997608561,127.441577363308,36.7262625759771
B222CC020111,284,211,505,,A222CC000111,,20220116,2022,,,,18,0,18,0.00116064912368,182.43207723228701,127.441573377173,36.7261857662355
B222CC020111,284,211,505,,A222CC000111,,20220116,2022,,,,19,0,19,0.00119777110247,180.81706533766263,127.441572150671,36.7261486645239
