360773.989145	4066004.68022
360773.965471	4066004.875351
360773.940783	4066005.072805
360773.917184	4066005.269588
360773.897443	4066005.466989
360773.876964	4066005.663667
360773.849817	4066005.857994
360773.821818	4066006.052382
360773.797843	4066006.249023
360773.774475	4066006.446097
360773.750219	4066006.642774
360773.725917	4066006.838947
360773.7019	4066007.033644
360773.677825	4066007.229275
360773.653948	4066007.424428
360773.630049	4066007.619121
360773.605692	4066007.815081
360773.58116	4066008.012778
360773.556919	4066008.210475
360773.532853	4066008.406757
360773.508773	4066008.601996
360773.484492	4066008.799579
360773.460647	4066008.995456
360773.436598	4066009.191973
360773.41239	4066009.387154
360773.388304	4066009.583161
360773.364565	4066009.779669
360773.34072	4066009.977475
360773.317131	4066010.173268
360773.29334	4066010.368201
360773.267966	4066010.565634
360773.247087	4066010.760942
360773.232132	4066010.956922
360773.211573	4066011.154951
360773.179414	4066011.348626
360773.150455	4066011.545892
360773.127699	4066011.742203
360773.104656	4066011.939831
360773.081094	4066012.135647
360773.05735	4066012.332025
360773.033607	4066012.527583
360773.009563	4066012.724986
360772.985603	4066012.921084
360772.961631	4066013.117406
360772.937657	4066013.313932
360772.913308	4066013.512186
360772.889061	4066013.70825
360772.865833	4066013.906696
360772.843923	4066014.103511
360772.821645	4066014.300805
360772.798955	4066014.498453
360772.774145	4066014.693316
360772.74699	4066014.889786
360772.721869	4066015.08818
360772.698547	4066015.284124
360772.674724	4066015.480532
360772.651034	4066015.677267
360772.630485	4066015.873297
360772.610949	4066016.072241
360772.586409	4066016.267494
360772.558272	4066016.465314
360772.533756	4066016.66197
360772.510577	4066016.85807
360772.486845	4066017.054529
360772.463122	4066017.250461
360772.439408	4066017.448315
360772.415664	4066017.646821
360772.39193	4066017.84213
360772.367966	4066018.038505
360772.344187	4066018.235577
360772.320322	4066018.433591
360772.296211	4066018.631899
360772.272135	4066018.829359
360772.247973	4066019.027652
360772.224224	4066019.222693
360772.200257	4066019.418437
360772.176611	4066019.615154
360772.154576	4066019.810124
360772.131662	4066020.008092
360772.105591	4066020.205304
360772.080819	4066020.403582
360772.061534	4066020.599857
360772.041009	4066020.795231
360772.013182	4066020.992867
360771.985272	4066021.190815
360771.961131	4066021.388761
360771.937582	4066021.585272
360771.913714	4066021.780947
360771.889443	4066021.978438
360771.865211	4066022.173372
360771.840728	4066022.370169
360771.81647	4066022.565883
360771.7921	4066022.761635
360771.767411	4066022.958568
360771.742654	4066023.155978
360771.717868	4066023.354001
360771.692971	4066023.550964
360771.66795	4066023.746498
360771.642898	4066023.943649
360771.618303	4066024.138791
360771.593803	4066024.333855
360771.569403	4066024.528816
360771.544885	4066024.723469
360771.519766	4066024.921684
360771.494934	4066025.11876
360771.470413	4066025.314385
360771.445892	4066025.510239
360771.421381	4066025.706293
360771.397014	4066025.901927
360771.372747	4066026.097427
360771.34829	4066026.293589
360771.323752	4066026.489633
360771.299165	4066026.685304
360771.274507	4066026.880828
360771.249828	4066027.077028
360771.22513	4066027.273766
360771.200189	4066027.470728
360771.175002	4066027.667997
360771.150009	4066027.864052
360771.125138	4066028.059218
360771.099284	4066028.254708
360771.073088	4066028.45298
360771.054477	4066028.650971
360771.038998	4066028.850003
360771.011137	4066029.046213
360770.974477	4066029.23903
360770.946561	4066029.43606
360770.922053	4066029.633197
360770.896287	4066029.829338
